"","K562_C1","K562_C2","K562_C3","K562_N4","K562_N5","K562_N6","K562_groCap_1","K562_ProCap_pcr_2","K562_ProCap_pcr_1","K562_10M_N1","K562_10M_N2","K562_10M_N3","K562_C","K562_N","K562_Cap_align","K562_pcr_align","K562_N_10M"
"90%",0,0,0,0,0,0,0,1,0,5,6,4,0,2,0,1,4
"95%",0,0,0,2,1,2,0,1,1,7,8,6,0,3,0,2,6
"99%",1,1,1,5,5,5,2,4,3,14,15,11,2,10,2,6,12
"99.9%",4,5,4,18,15,18,5,9,6,38,37,29,8,39,5,13,36
"99.99%",11,11.2012000000104,13,55.2012000000104,42.2012000000104,55,11.2012000000104,17,12,107.402400000021,99.2012000000104,71,32.2012000000104,124.603600000031,11.2012000000104,25.2012000000104,106.20120000001
"99.999%",31.6603600002127,34.2201200000709,40.3207200004254,166.220120000071,124.440240000142,175.320720000425,52.6036000021268,30.8804800002836,17.2201200000709,273.90540000319,228.760960000567,159.182280001347,112.880480000284,382.742040001205,52.6036000021268,46.2201200000709,270.100600000354
