"","GM12878_250K_C","GM12878_500K_C","GM12878_1M_C","GM12878_500K_N","GM12878_1M_N","GM12878_5M_N","GM12878_10M_N","GM12878_50K_C","GM12878_1M_trip","GM12878_1M_ctrl","GM12878_10M_Cap_align","GM12878_250K_C1","GM12878_250K_C2","GM12878_250K_C3","GM12878_500K_C1","GM12878_1M_C1","GM12878_500K_N1","GM12878_500K_N2","GM12878_500K_N3","GM12878_1M_N1","GM12878_1M_N3","GM12878_5M_N1","GM12878_5M_N2","GM12878_5M_N3","GM12878_10M_N1","GM12878_10M_N2","GM12878_10M_N3","GM12878_50K_C1","GM12878_50K_C2","GM12878_50K_C3","GM12878_500K_C2","GM12878_500K_C3","GM12878_1M_C2","GM12878_1M_C3","GM12878_1M_N2","GM12878_triptolide_C1","GM12878_triptolide_C2","GM12878_triptolide_C3","GM12878_triptolide_C4","GM12878_ctrl_C1","GM12878_ctrl_C2","GM12878_ctrl_C3","GM12878_groCap_1"
"90%",0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",0,1,2,0,1,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,10,5,9,10,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"99%",14,8,9,59,36,26,22,32,4,3,2,2,4,0,10,7,7,1,1,25,16,15,26,16,18,19,31,6,0,0,3,3,3,3,12,1,1,4,1,2,3,3,2
"99.9%",37,20,26,148,96,83,67,96,9,11,6,25,51,32,25,23,96,104.011999999988,100,65,51,50,75,46,50,50,89,48,76,69,10,9,10,9,40,5,5,11,5,5,8,11,6
"99.99%",63,47,71.2012000000104,308.402400000021,230.402400000021,214,169.20120000001,152,33,45.2012000000104,11,42,77,57,53,52,157.20120000001,191,165.402400000021,119.20120000001,100.20120000001,134,179.402400000021,108.402400000021,125.20120000001,131,219.20120000001,73,141,130,19,18,24,23,83,13,11,30,10,13,28.2012000000104,33,11
"99.999%",110.660360000213,121.521920001134,223.823720002198,732.465160003048,604.220120000071,585.641440000851,413.886480003828,184.660360000213,151.220120000071,148.440240000142,41.6603600002127,77.4213200007798,121.440240000142,84.1006000003545,145.704200002481,140.125520003261,277.660360000213,400.962160001276,310.540840000496,288.540840000496,191.42132000078,356.742040001205,425.760960000567,265.320720000425,291.760960000567,323.962160001276,571.880480000284,90,171.660360000213,156.440240000142,62.4402400001418,47.1006000003545,73.981080000638,67.4402400001418,165.861560000922,43.2201200000709,43,111.880480000284,43.2201200000709,32.4402400001418,83.5408400004962,150.100600000354,41.6603600002127
