ID	ENCODE_ID	bw_plus	bw_minus	cell_count	Cell line	Type	replicate	Seq_run	Pool	method	use
GM12878_1M_N2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_2_STAR.minus.bw	1M	GM12878	N	2	2	6	CAGE	yes
GM12878_1M_N3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_1mio_3_STAR.minus.bw	1M	GM12878	N	3	2	4	CAGE	yes
GM12878_5M_N1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_1_STAR.minus.bw	5M	GM12878	N	1	2	4	CAGE	yes
GM12878_5M_N2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_2_STAR.minus.bw	5M	GM12878	N	2	2	5	CAGE	yes
GM12878_5M_N3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_5mio_3_STAR.minus.bw	5M	GM12878	N	3	2	4	CAGE	yes
GM12878_10M_N1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_1_STAR.minus.bw	10M	GM12878	N	1	2	5	CAGE	yes
GM12878_10M_N2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_2_STAR.minus.bw	10M	GM12878	N	2	2	4	CAGE	yes
GM12878_10M_N3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_N_10mio_3_STAR.minus.bw	10M	GM12878	N	3	2	5	CAGE	yes
GM12878_triptolide_C1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_1_STAR.minus.bw	1M	GM12878	trip	1	1	trip	CAGE	yes
GM12878_triptolide_C2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_2_STAR.minus.bw	1M	GM12878	trip	2	1	trip	CAGE	yes
GM12878_triptolide_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_3_STAR.minus.bw	1M	GM12878	trip	3	1	trip	CAGE	yes
GM12878_triptolide_C4	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_4_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_10miM_5h_4_STAR.minus.bw	1M	GM12878	trip	4	1	trip	CAGE	yes
GM12878_ctrl_C1	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_1_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_1_STAR.minus.bw	1M	GM12878	ctrl	1	1	trip	CAGE	yes
GM12878_ctrl_C2	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_2_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_2_STAR.minus.bw	1M	GM12878	ctrl	2	1	trip	CAGE	yes
GM12878_ctrl_C3	none	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_3_STAR.plus.bw	/projects/ralab/data/CAGE/nucleiCAGE/bw_files/CAGE_reseq_GM12878_ctrl_DMSO_3_STAR.minus.bw	1M	GM12878	ctrl	3	1	trip	CAGE	yes
GM12878_groCap_1	ENCFF638SZH	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF638SZH.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF638SZH.minus.bw	10M	GM12878	Cap_unfiltAlign	1	1	NA	GroCap	no
GM12878_groCap_1	ENCFF740NAF	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF740NAF.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF740NAF.minus.bw	10M	GM12878	Cap_align	1	1	NA	GroCap	yes
GM12878_groCtrl_1	ENCFF131IAM	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF131IAM.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF131IAM.minus.bw	10M	GM12878	ctrl_align	1	1	NA	GroCap	no
GM12878_groCtrl_1	ENCFF242CCS	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF242CCS.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/gm12878_GRO-cap/3_gm12878_GRO-cap_bw/ENCFF242CCS.minus.bw	10M	GM12878	ctrl_unfiltAlign	1	1	NA	GroCap	no
