facet	proximal_0.5	proximal_0.75	distal_0.5	distal_0.75	all_0.5	all_0.75
smooth.muscle.cell.of.prostate	49256	11977	31203	232	80459	12209
hepatic.stellate.cell	24817	4557	6219	40	31036	4597
osteoblast	54252	17129	85631	752	139883	17881
vascular.associated.smooth.muscle.cell	94812	25570	153086	3681	247898	29251
acinar.cell	59140	17230	84941	1339	144081	18569
large.intestine	74898	22154	110538	2022	185436	24176
bile.duct.carcinoma	50261	14115	55233	712	105494	14827
transitional.cell.carcinoma	62306	17765	83193	1368	145499	19133
melanoma	46098	13022	49417	544	95515	13566
eye	73612	20726	91835	1776	165447	22502
colon.carcinoma	43016	11719	40262	521	83278	12240
spinal.cord	76766	24410	171883	5102	248649	29512
mammary.epithelial.cell	60751	20858	146159	2180	206910	23038
epithelioid.sarcoma	42116	12505	53792	866	95908	13371
enteric.smooth.muscle.cell	56335	14926	54793	507	111128	15433
skeletal.muscle.tissue	65599	21213	145601	2873	211200	24086
internal.male.genitalia	80183	23430	161135	4771	241318	28201
acute.myeloid.leukemia.FAB.M2	53736	16424	94508	2091	148244	18515
acute.myeloid.leukemia.FAB.M4	40700	13514	72307	1054	113007	14568
acute.myeloid.leukemia.FAB.M5	60988	17329	87377	2145	148365	19474
kidney	75967	20756	83647	1558	159614	22314
acute.myeloid.leukemia.FAB.M6	42457	12879	56537	811	98994	13690
urothelial.cell	37167	8277	15272	151	52439	8428
small.intestine	66595	18247	77537	1272	144132	19519
acute.myeloid.leukemia.FAB.M7	32726	10874	50685	455	83411	11329
skin.fibroblast	102184	29454	219481	5169	321665	34623
rhabdomyosarcoma	55294	16788	87070	1698	142364	18486
gall.bladder.carcinoma	58667	17536	86750	1614	145417	19150
mean	59602.21	16696.19	98877.27	3163.53	158479.48	19859.72
median	57138	16209	73151	1228	132677	17581
